fYear.Month,n
2012/02,8
2012/03,14
2012/04,18
2012/05,19
2012/06,19
2012/07,16
2012/08,21
2012/09,12
2012/10,15
2012/11,15
2012/12,15
2013/01,16
2013/02,16
2013/03,18
2013/04,21
2013/05,24
2013/06,19
2013/07,17
2013/08,17
2013/09,16
2013/10,15
2013/11,17
2013/12,16
2014/01,22
2014/02,22
2014/03,23
2014/04,24
2014/05,26
2014/06,26
2014/07,28
2014/08,24
2014/09,22
2014/10,22
2014/11,23
2014/12,23
2015/01,23
2015/02,24
2015/03,27
2015/04,33
2015/05,23
2015/06,23
2015/07,23
2015/08,16
2015/09,15
2015/10,16
2015/11,13
2015/12,14
2016/01,15
2016/02,16
2016/03,14
2016/04,13
2016/05,21
2016/06,17
2016/07,16
2016/08,19
2016/09,16
2016/10,16
2016/11,18
2016/12,23
2017/01,23
2017/02,22
2017/03,21
2017/04,25
2017/05,27
2017/06,28
2017/07,23
2017/08,20
2017/09,24
2017/10,18
2017/11,16
2017/12,15
2018/01,18
2018/02,18
2018/03,18
2018/04,25
2018/05,31
2018/06,27
2018/07,24
2018/08,22
2018/09,24
2018/10,21
2018/11,25
2018/12,31
2019/01,31
2019/02,34
2019/03,34
2019/04,36
2019/05,31
2019/06,30
2019/07,21
2019/08,17
2019/09,18
2019/10,23
2019/11,18
2019/12,20
2020/01,20
2020/02,19
2020/03,23
2020/04,21
2020/05,25
2020/06,21
2020/07,17
2020/08,12
2020/09,16
2020/10,13
2020/11,13
2020/12,10
2021/01,16
2021/02,17
2021/03,18
2021/04,18
2021/05,18
2021/06,18
2021/07,16
2021/08,14
2021/09,13
2021/10,16
2021/11,13
2021/12,17
2022/01,17
2022/02,18
2022/03,16
2022/04,18
2022/05,20
2022/06,19
2022/07,16
2022/08,17
2022/09,16
2022/10,10
2022/11,11
2022/12,14
2023/01,17
2023/02,16
2023/03,16
2023/04,17
2023/05,17
2023/06,17
2023/07,11
