"Station.Name","Station","Distance","Longitude","Latitude","Zone","Removed"
"Broad River Base BR1","Broad River Base BR1",22.19,-80.960933,25.4440333,3,NA
"Derek's Cut Base DC1","DC1",14,-81.0005167,25.3941333,10,"Y"
"Derek's Cut Base DC2","DC2",14.68,-80.99678247,25.39198525,10,"Y"
"Harney Mouth Base HM2","Harney Mouth Base HM2",1.42,-81.1406167,25.4290667,11,NA
"Harney River Base SRN1","SRN1",6.79,-81.08347,25.43136,9,""
"Harney River Base SRN2","SRN2",7.3,-81.08884,25.43057,9,""
"Harney River Base SRN3","SRN3",4.26,-81.11208,25.42996,9,"Y"
"Otter Creek OT1","OT01",27.08,-80.91965,25.45645,3,""
"Rookery Branch Central Base RBC2","RBC2",26.93,-80.90729,25.43947,2,""
"Rookery Branch East Base RBE1","RBE1",30.48,-80.88065,25.45427,1,""
"Rookery Branch East Base RBE2","RBE2",30.86,-80.87605,25.45688,1,""
"Rookery Branch East Base RBE3","RBE3",31.72,-80.86954,25.46085,1,""
"Rookery Branch KC1","KC1",24.34,-80.92746,25.42619,2,""
"Rookery Branch Lower Base RBL1","RBL1",22.09,-80.95214,25.43405,4,"Y"
"Rookery Branch Lower Base RBL2","RBL2",22.55,-80.95011,25.43351,4,"Y"
"Rookery Branch North Base RBN1","RBN1",25.12,-80.93855,25.43977,4,""
"Rookery Branch North Base RBN2","RBN2",26.21,-80.93524,25.43979,4,""
"Rookery Branch South Base RBS1","RBS1",26.52,-80.91492,25.42807,2,"Y"
"Rookery Branch South Base RBS2","RBS2",25.72,-80.91856,25.42787,2,""
"Rookery Branch Upper Base RBU1","RBU1",23.73,-80.94931,25.44765,3,""
"Rookery Branch Upper Base RBU2","RBU2",23.98,-80.94697,25.45015,3,""
"Rookery Branch West Base RBW2","RBW2",21.63,-80.95659,25.41628,4,""
"Shark River Base SR1","SR1",0.5,-81.06665,25.353183,12,"Y"
"Shark River Base SR2","SR2",1.59,-81.08305,25.350817,12,""
"Shark River Base SR3","SR3",4,-81.092883,25.34475,12,""
"Shark River Base SR4","SR4",4.5,-81.100433,25.339817,12,""
"Shark River Base SR5","SR5",5,-81.10895,25.3359,12,""
"Shark River Base SR6","SR6",6.22,-81.120517,25.3311,12,""
"Shark River Middle Base SRM1","SRM1",12.41,-81.02817,25.39768,10,"Y"
"Shark River Middle Base SRM2","SRM2",12.67,-81.02462,25.39325,10,"Y"
"Shark River North SRN 13","SRN13",1.17,-81.14002,25.41242,11,""
"Shark River North SRN12","SRN12",0.97,-81.1405,25.42894,11,""
"Shark River South 50","SRS50",2,-81.09212,25.36179,12,""
"Shark River South 51","SRS51",2.47,-81.09813,25.36015,12,""
"Shark River South Base 01","BASE1",8.58,-81.04224,25.37307,10,""
"Shark River South Base 02","BASE2",10.03,-81.02934,25.37882,10,""
"Shark River South Base SR1A","SR1A",10,-81.02088,25.38374,10,"Y"
"Shark River South Base SR1B","SR1B",10.93,-81.01547,25.386,10,""
"Shark River South SRS11","SRS11",0.45,-81.10671,25.35672,12,"Y"
"Shark River South SRS12","SRS12",0.1,-81.14041,25.42887,12,""
"Shark River South SRS12NEW","SRS12N",3,-81.09738,25.37981,12,""
"Shark River South SRS25NEW","SRS25",3.5,-81.10149,25.36996,12,""
"Shark River South SRS2NEW","SRS2N",3.65,-81.08303,25.35085,12,NA
"Shark River South SRSLittleShark1","LSR1",0.11,-81.14136,25.3275,12,""
"Shark River South SRSLittleShark2","LSR2",1,-81.1302,25.33178,12,""
"SRS6NEW","SRS6NEW",0.2,-81.11548,25.33633,12,""
"Tarpon Bay East Base TBE1","TBE1",19.02,-80.96767,25.40418,6,""
"Tarpon Bay East Base TBE2","TBE2",18.16,-80.96703,25.40824,6,""
"Tarpon Bay Middle Base TBM1A","TBM1A",16.67,-81.00063,25.41941,8,""
"Tarpon Bay Middle Base TBM2","TBM2",17.9,-80.98733,25.4221,5,""
"Tarpon Bay Middle Base TBM3","TBM3",17.58,-80.989567,25.4171167,6,""
"Tarpon Bay Middle Base TBM5","TBM5",17,-80.97639,25.41437,6,""
"Tarpon Bay North Base TBN1","TBN1",18.22,-81.00105,25.42908,7,""
"Tarpon Bay North Base TBN2","TBN2",17.69,-81.00391,25.42922,7,""
"Tarpon Bay North Base TBN3","TBN3",19.25,-80.97817,25.42806,5,""
"Tarpon Bay North Base TBN4","TBN4",20.25,-80.96657,25.42963,5,""
"Tarpon Bay Upper Base TBU1","TBU1",22.13,-80.95558,25.43039,5,"Y"
"Tarpon Bay Upper Base TBU2","TBU2",22.41,-80.95228,25.42893,4,"Y"
"Tarpon Bay Upper Base TBU3","TBU3",19,-80.9693083,25.4297722,5,""
"Tarpon Bay West Base TBW1","TBW1",15.99,-81.00841,25.41043,8,""
"Tarpon Bay West Base TBW3","TBW3",15,-81.01324,25.41779,8,""
